Movie,Month,Day,Year,Budget($M),Domestic Gross($M),Worldwide Gross($M)
Alvin and the Chipmunks: The Squeakquel,Dec,23,2009,70,219.614612,443.483213
Les Miserables,Dec,25,2012,65,148.80977,442.169052
The Bourne Ultimatum,Aug,3,2007,130,227.47107,442.161562
Men in Black 2,Jul,3,2002,140,190.418803,441.767803
Mrs. Doubtfire,Nov,24,1993,25,219.195051,441.286003
Terminator: Genisys,Jul,1,2015,155,89.760956,440.160956
The Mummy Returns,May,4,2001,98,202.00764,435.040395
Warcraft,Jun,10,2016,160,47.225655,433.125655
Terminator 3: Rise of the Machines,Jul,1,2003,170,150.358296,433.058296
Pretty Woman,Mar,23,1990,14,178.406268,432.645872
Die Another Day,Nov,22,2002,142,160.942139,431.942139
La La Land,Dec,9,2016,20,151.101803,431.286372
The King’s Speech,Nov,26,2010,15,138.797449,430.821168
The Matrix Revolutions,Nov,5,2003,150,139.27091,427.30026
Cast Away,Dec,22,2000,85,233.632142,427.230516
Dances with Wolves,Nov,9,1990,19,184.208842,424.2
The Chronicles of Narnia: The Voyage of the Dawn Treader,Dec,10,2010,155,104.38695,418.18695
The Chronicles of Narnia: Prince Caspian,May,16,2008,225,141.62149,417.341288
The Wolverine,Jul,26,2013,115,132.556852,416.456852
The Mummy,May,7,1999,80,155.385488,416.385488
Jason Bourne,Jul,29,2016,120,162.19292,416.197059
Sex and the City,May,30,2008,57.5,152.647258,415.247258
Sex and the City,May,30,2008,57.5,152.647258,415.247258
Rain Man,Dec,16,1988,25,172.825435,412.8
Batman,Jun,23,1989,35,251.188924,411.348924
Pacific Rim,Jul,12,2013,190,101.802906,411.002906
The Bodyguard,Nov,25,1992,25,121.94572,410.9
The Mummy,Jun,9,2017,195,80.101125,410.333326
Kingsman: The Golden Circle,Sep,22,2017,104,100.234838,408.834838
Signs,Aug,2,2002,70.702619,227.969295,408.269295
X2,May,2,2003,125,214.949694,406.875536
The Mummy: Tomb of the Dragon Emperor,Aug,1,2008,175,102.491776,405.760225
Kingsman: The Secret Service,Feb,13,2015,94,128.261724,404.561724
Ice Age: Collision Course,Jul,22,2016,105,64.063008,403.841637
The Exorcist,Dec,26,1973,12,204.868002,402.735134
Prometheus,Jun,8,2012,125,126.477084,402.448265
Twilight,Nov,21,2008,37,192.769854,402.280159
Night at the Museum: Battle of the Smithsonian,May,22,2009,150,177.243721,402.231063
Snow White and the Huntsman,Jun,1,2012,170,155.136755,401.021746
Tron: Legacy,Dec,17,2010,200,172.062763,400.062763
Mission: Impossible III,May,5,2006,150,133.501348,397.501348
Gone with the Wind,Dec,15,1939,3.9,198.68047,390.525192
The Wolf of Wall Street,Dec,25,2013,100,116.900694,389.870414
Independence Day: Resurgence,Jun,24,2016,165,103.144286,387.644286
Grease,Jun,16,1978,6,181.81377,387.51377
Zhuo yao ji,Jan,22,2016,56,0.032766,386.152042
Zhuo yao ji,Jan,22,2016,56,0.032766,386.152042
Ice Age,Mar,15,2002,65,176.387405,386.116343
Home,Mar,27,2015,130,177.39751,386.06939
Star Trek,May,8,2009,140,257.730019,385.680446
Back to the Future,Jul,3,1985,19,212.259762,385.524862
Happy Feet,Nov,17,2006,85,198.000317,385.000317
Slumdog Millionaire,Nov,12,2008,14,141.330703,384.53044
Live Free or Die Hard,Jun,27,2007,110,134.529403,382.288147
Monsters vs. Aliens,Mar,27,2009,175,198.351526,381.68738
Fifty Shades Darker,Feb,10,2017,55,114.43401,381.081967
Fifty Shades Darker,Feb,10,2017,55,114.43401,381.081967
Hotel Transylvania,Sep,28,2012,85,148.313048,378.505812
Taken 2,Oct,5,2012,45,139.854287,377.807404
The Greatest Showman,Dec,20,2017,84,166.185401,377.006196
Godzilla,May,19,1998,125,136.314294,376
G.I. Joe: Retaliation,Mar,27,2013,140,122.52306,375.740705
My Big Fat Greek Wedding,Apr,19,2002,5,241.438208,374.890034
X-Men Origins: Wolverine,May,1,2009,150,179.883157,374.82576
What Women Want,Dec,15,2000,65,182.805123,374.105123
Superman Returns,Jun,28,2006,232,200.12,374.085065
The Adventures of Tintin,Dec,21,2011,130,77.591831,373.993951
Shark Tale,Oct,1,2004,75,161.412,371.917043
Mad Max: Fury Road,May,15,2015,150,153.636354,370.742166
Captain America: The First Avenger,Jul,22,2011,140,176.654505,370.569776
Edge of Tomorrow,Jun,6,2014,178,100.206256,370.541256
There's Something About Mary,Jul,15,1998,22,176.484651,369.884651
Gone Girl,Oct,3,2014,61,167.767189,368.567189
Penguins of Madagascar,Nov,26,2014,132,83.350911,367.650911
Raiders of the Lost Ark,Jun,12,1981,20,225.686079,367.452079
The Golden Compass,Dec,7,2007,205,70.107728,367.262558
Hitch,Feb,11,2005,55,177.784257,366.784257
Hitch,Feb,11,2005,55,177.784257,366.784257
Die Hard: With a Vengeance,May,19,1995,90,100.012499,366.101666
Jurassic Park III,Jul,18,2001,93,181.166115,365.9
Terminator Salvation,May,21,2009,200,125.322469,365.491792
True Lies,Jul,15,1994,100,146.282411,365.3
Toy Story,Nov,22,1995,30,191.796233,364.545516
Notting Hill,May,28,1999,42,116.089678,363.728226
A Bug's Life,Nov,20,1998,45,162.798565,363.095319
Fast & Furious,Apr,3,2009,85,155.064265,363.064265
Ocean's Twelve,Dec,10,2004,110,125.531634,362.989076
Alvin and the Chipmunks,Dec,14,2007,55,217.326974,362.605033
Alvin and the Chipmunks,Dec,14,2007,55,217.326974,362.605033
Planet of the Apes,Jul,27,2001,100,180.01174,362.21174
The Hangover 3,May,23,2013,103,112.200072,362.000072
The World is Not Enough,Nov,19,1999,135,126.93066,361.73066
Batman Begins,Jun,15,2005,150,205.343774,359.142722
Home Alone 2: Lost in New York,Nov,20,1992,20,173.585516,358.99485
Minority Report,Jun,21,2002,102,132.024714,358.824714
The Flintstones,May,27,1994,45,130.531208,358.5
Top Gun,May,16,1986,15,179.800601,356.800601
Night at the Museum: Secret of the Tomb,Dec,19,2014,127,113.746621,356.546621
Goldeneye,Nov,17,1995,60,106.429941,356.429941
American Beauty,Sep,15,1999,15,130.058047,356.258047
Dinosaur,May,19,2000,127.5,137.748063,356.148063
X-Men: First Class,Jun,3,2011,160,146.408305,355.408305
The Fugitive,Aug,6,1993,44,183.87576,353.715317
Noah,Mar,28,2014,130,101.200044,352.831065
The Angry Birds Movie,May,20,2016,73,107.509366,352.829528
The Karate Kid,Jun,11,2010,40,176.591618,351.774938
The Mask,Jul,29,1994,18,119.920129,351.620129
Who Framed Roger Rabbit?,Jun,22,1988,70,154.112492,351.5
The Great Gatsby,May,10,2013,190,144.840419,351.040419
Doctor Seuss' The Lorax,Mar,2,2012,67.5,214.0305,350.976753
Hannibal,Feb,9,2001,87,165.092266,350.10028
Fifty Shades Freed,Feb,9,2018,55,97.457595,349.878788
Fifty Shades Freed,Feb,9,2018,55,97.457595,349.878788
Deep Impact,May,8,1998,80,140.464664,349.464664
Murder on the Orient Express,Nov,10,2017,55,102.826543,349.213586
Murder on the Orient Express,Nov,10,2017,55,102.826543,349.213586
The Legend of Tarzan,Jul,1,2016,180,126.643061,349.143061
Alvin and the Chipmunks: Chipwrecked,Dec,16,2011,80,133.107389,349.088523
"I, Robot",Jul,16,2004,105,144.801023,348.629585
The Smurfs 2,Jul,31,2013,110,71.017784,348.547523
The Maze Runner,Sep,19,2014,34,102.427862,348.319861
Rush Hour 2,Aug,3,2001,90,226.164286,347.425832
Pocahontas,Jun,10,1995,55,141.579773,347.1
Pocahontas,Jun,10,1995,55,141.579773,347.1
How the Grinch Stole Christmas,Nov,17,2000,123,260.044825,345.141403
xXx: Return of Xander Cage,Jan,20,2017,85,44.898413,345.114933
Trolls,Nov,4,2016,125,153.707064,344.780046
Over the Hedge,May,19,2006,80,155.01934,343.397247
Now You See Me,May,31,2013,75,117.723989,342.7692
Wanted,Jun,27,2008,75,134.508551,342.41646
Close Encounters of the Third Kind,Nov,16,1977,20,169.100479,340.800479
Enchanted,Nov,21,2007,85,127.706877,340.384141
Tomorrow Never Dies,Dec,19,1997,110,125.304276,339.504276
Batman Forever,Jun,16,1995,100,184.031112,336.529144
Star Trek Beyond,Jul,22,2016,185,158.84834,336.398312
The Rock,Jun,7,1996,75,134.069511,336.069511
The Great Wall,Feb,17,2017,150,45.157105,334.550106
The Good Dinosaur,Nov,25,2015,187.5,123.08712,334.342692
Apollo 13,Jun,30,1995,65,172.070496,334.1
Fantastic Four,Jul,8,2005,87.5,154.69608,333.13275
Indiana Jones and the Temple of Doom,May,23,1984,28,179.880271,333.080271
Back to the Future Part II,Nov,22,1989,40,118.450002,332
National Treasure,Nov,19,2004,100,173.005002,331.32341
Black Swan,Dec,3,2010,13,106.954678,331.26671
300: Rise of an Empire,Mar,7,2014,110,106.580051,330.780051
Meet the Parents,Oct,6,2000,55,166.22504,330.42504
Meet the Parents,Oct,6,2000,55,166.22504,330.42504
The Curious Case of Benjamin Button,Dec,25,2008,160,127.509326,329.631958
The Perfect Storm,Jun,30,2000,120,182.618434,328.711434
Now You See Me 2,Jun,10,2016,90,65.07554,328.67554
Crocodile Dundee,Sep,26,1986,8.8,174.803506,328.203506
Se7en,Sep,22,1995,30,100.125643,328.125643
Bolt,Nov,21,2008,150,114.053579,328.015029
Taken 3,Jan,9,2015,48,89.256424,327.656424
The Devil Wears Prada,Jun,30,2006,35,124.74046,326.073155
The Hunchback of Notre Dame,Jun,21,1996,100,100.138851,325.5
Robin Hood,May,14,2010,210,105.487148,322.459006
Megamind,Nov,5,2010,130,148.415853,321.887208
Schindler's List,Dec,15,1993,25,96.067179,321.365567
Fatal Attraction,Sep,18,1987,14,156.645693,320.1
The Last Airbender,Jul,1,2010,150,131.772187,319.713881
Lethal Weapon 3,May,15,1992,35,144.731527,319.7
Journey 2: The Mysterious Island,Feb,10,2012,79,103.86029,318.146162
The Conjuring,Jul,19,2013,20,137.400141,318.000141
A Beautiful Mind,Dec,21,2001,78,170.708996,317.668058
Inglourious Basterds,Aug,21,2009,70,120.774594,316.915264
Beverly Hills Cop,Dec,5,1984,15,234.760478,316.3
Disney’s A Christmas Carol,Nov,6,2009,190,137.855863,315.709697
Air Force One,Jul,25,1997,85,172.956409,315.268353
The Proposal,Jun,19,2009,40,163.958031,314.709717
Prince of Persia: Sands of Time,May,28,2010,200,90.759676,314.594597
Austin Powers: The Spy Who Shagged Me,Jun,10,1999,35,206.040085,312.383487
The Expendables 2,Aug,17,2012,100,85.028192,311.979256
Ocean's Thirteen,Jun,8,2007,85,117.144465,311.744465
The SpongeBob Movie: Sponge Out of Water,Feb,6,2015,74,162.994032,311.594032
The Conjuring 2: The Enfield Poltergeist,Jun,10,2016,40,102.470008,311.270008
The Lego Batman Movie,Feb,10,2017,80,175.750384,310.940997
Maze Runner: The Scorch Trials,Sep,18,2015,61,81.697192,310.697192
Little Fockers,Dec,22,2010,100,148.4386,310.650574
The Polar Express,Nov,10,2004,170,186.493587,310.634169
Runaway Bride,Jul,30,1999,70,152.257509,310.138178
Chicken Little,Nov,4,2005,60,135.386665,310.043823
Ransom,Nov,8,1996,70,136.492681,308.7
Resident Evil: The Final Chapter,Jan,27,2017,40,26.844692,307.353906
The Pursuit of Happyness,Dec,15,2006,55,162.586036,307.325633
The Pursuit of Happyness,Dec,15,2006,55,162.586036,307.325633
The Fault in Our Stars,Jun,6,2014,12,124.87235,307.166834
Rise of the Guardians,Nov,21,2012,145,103.412758,306.900902
Chicago,Dec,27,2002,30,170.687518,306.770545
The Blind Side,Nov,20,2009,35,255.959475,305.705794
Annabelle: Creation,Aug,11,2017,15,102.092201,305.492201
Wrath of the Titans,Mar,30,2012,150,83.670083,305.270083
Battleship,May,18,2012,209,65.2334,305.218228
A Good Day to Die Hard,Feb,14,2013,92,67.349198,304.249198
Mulan,Jun,19,1998,90,120.620254,303.5
Liar Liar,Mar,21,1997,45,181.410615,302.710615
G.I. Joe: The Rise of Cobra,Aug,7,2009,175,150.201498,302.469017
Passengers,Dec,21,2016,110,100.014699,302.212434
Hook,Dec,11,1991,70,119.654823,300.854823
Rambo: First Blood Part II,May,22,1985,44,150.415432,300.4
Superman,Dec,15,1978,55,134.218018,300.2
Superman,Dec,15,1978,55,134.218018,300.2
Van Helsing,May,7,2004,170,120.150546,300.150546
Horton Hears a Who,Mar,14,2008,85,154.529439,299.477886
Shutter Island,Feb,19,2010,80,128.012934,299.461782
My Best Friend's Wedding,Jun,20,1997,46,126.813153,298.923419
Stuart Little,Dec,17,1999,105,140.015224,298.815224
X-Men,Jul,14,2000,75,157.299717,296.872367
Miss Peregrine’s Home for Peculiar Children,Sep,30,2016,110,87.242834,296.642834
Austin Powers in Goldmember,Jul,25,2002,63,213.117789,296.338663
Resident Evil: Afterlife,Sep,10,2010,57.5,60.128566,295.87419
Resident Evil: Afterlife,Sep,10,2010,57.5,60.128566,295.87419
Wonder,Nov,17,2017,20,132.166669,295.459836
The Divergent Series: Insurgent,Mar,20,2015,110,130.179072,295.279072
Ghostbusters,Jun,8,1984,30,242.212467,295.212467
Sex and the City 2,May,27,2010,95,95.347692,294.680778
Doctor Dolittle,Jun,26,1998,71.5,144.156605,294.156605
G-Force,Jul,24,2009,150,119.43677,292.817841
The Green Mile,Dec,10,1999,60,136.801374,290.701374
Salt,Jul,23,2010,130,118.311368,290.650494
Ferdinand,Dec,15,2017,111,83.170864,289.959445
The Departed,Oct,6,2006,90,132.384315,289.660619
Bridesmaids,May,13,2011,32.5,169.211718,289.632023
Fantastic Four: Rise of the Silver Surfer,Jun,15,2007,120,131.921738,289.480691
What Lies Beneath,Jul,21,2000,90,155.464351,288.693989
The Bourne Supremacy,Jul,23,2004,85,176.08745,288.58745
Oblivion,Apr,19,2013,120,89.107235,287.916633
Pitch Perfect 2,May,15,2015,29,184.29623,287.641616
Bee Movie,Nov,2,2007,150,126.631277,287.594577
Turbo,Jul,17,2013,135,83.02813,286.896578
American Pie 2,Aug,10,2001,30,145.09682,286.5
The Sound of Music,Mar,2,1965,8.2,163.214286,286.214286
Elysium,Aug,9,2013,120,93.050117,286.192091
