Movie,Month,Day,Year,Budget($M),Domestic Gross($M),Worldwide Gross($M)
Air Bud,Aug,1,1997,3,24.646936,27.788649
Saving Grace,Aug,4,2000,4,12.178602,27.786849
Nurse Betty,Sep,8,2000,24,25.170054,27.732366
Menace II Society,May,26,1993,3.5,27.731527,27.731527
Love and Basketball,Apr,21,2000,15,27.441122,27.709625
Dark Skies,Feb,22,2013,3.5,17.418667,27.704111
To Die For,Sep,27,1995,20,21.284514,27.688744
The Island of Dr. Moreau,Aug,23,1996,40,27.682712,27.682712
Goal! The Dream Begins,May,12,2006,33,4.283255,27.610873
The Thing,Oct,14,2011,38,16.999934,27.573078
Michael Collins,Oct,11,1996,25,11.092559,27.572844
The Muppet Christmas Carol,Dec,11,1992,12,27.281507,27.492918
Tailor of Panama,Mar,30,2001,18,13.491653,27.491653
Ramona and Beezus,Jul,23,2010,15,26.167002,27.469621
Poetic Justice,Jul,23,1993,14,27.450453,27.450453
Dune,Dec,14,1984,45,27.447471,27.447471
The Incredible Burt Wonderstone,Mar,15,2013,32,22.537881,27.392609
Norm of the North,Jan,15,2016,18,17.062499,27.392195
Clerks II,Jul,21,2006,5,24.148068,27.342246
Big Eyes,Dec,25,2014,10,14.482031,27.317872
Dark City,Feb,27,1998,27,14.435076,27.257061
Zwartboek,Apr,6,2007,22,4.398532,27.238354
A Passage to India,Dec,14,1984,27.5,27.187653,27.187653
Baby Geniuses,Mar,12,1999,13,27.15149,27.15149
Observe and Report,Apr,10,2009,18,24.007324,27.148898
The Cave,Aug,26,2005,30,15.007991,27.147991
Mongol,Jun,6,2008,18,5.705761,27.147349
Flash Gordon,Dec,5,1980,35,27.10796,27.10796
The Story of Us,Oct,15,1999,50,27.10003,27.10003
Fast Times at Ridgemont High,Aug,13,1982,4.5,27.09288,27.09288
The Big Hit,Apr,24,1998,13,27.066941,27.066941
The Musketeer,Sep,7,2001,40,27.053815,27.053815
Monsoon Wedding,Feb,22,2002,1.2,13.876974,27.0256
Un monstre à Paris,Apr,16,2013,40,0,27.000381
Rendition,Oct,19,2007,27.5,9.736045,26.939925
Spy Hard,May,24,1996,18,26.936265,26.936265
Tron,Jul,9,1982,17,26.918576,26.918576
Splice,Jun,4,2010,30,17.01017,26.857459
The Way Way Back,Jul,5,2013,5,21.50269,26.85381
Eye for an Eye,Jan,12,1996,20,26.7927,26.7927
Baahubali: The Beginning,Jul,10,2015,40,6.738,26.736665
Sorority Row,Sep,11,2009,12.5,11.965282,26.735797
A Prairie Home Companion,Jun,9,2006,10,20.342852,26.716191
One True Thing,Sep,18,1998,30,23.337196,26.708196
Timeline,Nov,26,2003,80,19.480739,26.703184
Event Horizon,Aug,15,1997,60,26.673242,26.673242
Oliver Twist,Sep,23,2005,65,2.07092,26.67092
Blast from the Past,Feb,12,1999,35,26.61362,26.61362
Glory,Dec,13,1989,18,26.59358,26.59358
The Texas Chainsaw Massacre,Oct,18,1974,0.14,26.572439,26.572439
Harriet the Spy,Jul,10,1996,13,26.570048,26.570048
The Great Gatsby,Mar,29,1974,7,26.5332,26.5332
Apollo 18,Sep,2,2011,5,17.686929,26.517819
Conan the Destroyer,Jun,29,1984,18,26.4,26.4
Upside Down,Mar,15,2013,50,0.102118,26.387039
The Quiet American,Nov,22,2002,20,12.987647,26.348203
The Box,Nov,6,2009,25,15.051977,26.341896
The Whole Ten Yards,Apr,9,2004,30,16.323969,26.323969
Howards End,Mar,13,1992,8,26.124872,26.317943
Dumb and Dumberer: When Harry Met Lloyd,Jun,13,2003,30,26.214846,26.214846
Blood Work,Aug,9,2002,50,26.199517,26.199517
The New World,Dec,25,2005,30,12.712093,26.1844
U2 3D,Jan,23,2008,15,12.898847,26.170402
Les Couloirs du temps: Les visiteurs 2,Mar,27,1998,20,0.146072,26.146072
Your Highness,Apr,8,2011,50,21.596445,26.121638
Fair Game,Nov,3,1995,50,11.497497,26.097497
Indigènes,Dec,15,2006,18.9,0.3207,26.063572
The Elephant Man,Oct,3,1980,5,26.010864,26.010864
Do the Right Thing,Jun,30,1989,6,26.004026,26.004026
Jackie,Dec,2,2016,9,13.960394,25.969736
Triple 9,Feb,26,2016,20,12.639297,25.943792
Mao's Last Dancer,Aug,20,2010,18,4.80675,25.941437
The Cotton Club,Dec,14,1984,48,25.928721,25.928721
Les invasions barbares,May,9,2003,5,8.46,25.913869
Cry Freedom,Nov,6,1987,29,5.899797,25.899797
Carrie,Nov,16,1976,1.8,25.878153,25.878153
All About the Benjamins,Mar,8,2002,14,25.482931,25.873145
Saving Silverman,Feb,9,2001,22,19.351569,25.873142
Billy Lynn’s Long Halftime Walk,Nov,11,2016,40,1.738477,25.863458
The Bye Bye Man,Jan,13,2017,7.4,22.395806,25.863405
Our Idiot Brother,Aug,26,2011,5,24.81483,25.861249
Rollerball,Feb,8,2002,70,18.990542,25.852508
Shadowlands,Dec,29,1993,22,25.842377,25.842377
From Dusk Till Dawn,Jan,19,1996,20,25.728961,25.732986
Ice Princess,Mar,18,2005,25,24.381334,25.732334
Das Weisse Band: Eine deutsche Kindergeschichte,Dec,30,2009,18,2.222862,25.727044
The Outsiders,Mar,25,1983,10,25.697647,25.697647
Perfectos Desconocidos,Dec,31,2017,4,0,25.678357
The Wind That Shakes the Barley,Mar,16,2007,8.3,1.829142,25.670174
Enough Said,Sep,18,2013,8,17.550872,25.621449
Jonah: A VeggieTales Movie,Oct,4,2002,14,25.571351,25.608779
Halloween II,Oct,30,1981,2.5,25.533818,25.533818
Desperado,Aug,25,1995,7,25.532388,25.532388
Top Five,Dec,12,2014,12,25.317379,25.514848
A Nightmare on Elm Street,Nov,9,1984,1.8,25.504513,25.504513
Elle s'appelait Sarah,Jul,22,2011,14.5,7.6917,25.480031
The Last Exorcism Part II,Mar,1,2013,4,15.179303,25.448707
Escape from L.A.,Aug,9,1996,50,25.426861,25.426861
Persepolis,Dec,25,2007,7.3,4.443403,25.39746
The Cold Light of Day,Sep,7,2012,20,3.763583,25.361206
Can't Hardly Wait,Jun,12,1998,10,25.358996,25.358996
The Last Legion,Aug,17,2007,67,5.93206,25.357771
25th Hour,Dec,19,2002,4.5,13.084595,25.34449
Le prénom,Nov,16,2012,11,0.061611,25.307405
Bride & Prejudice,Feb,11,2005,7,6.601079,25.26904
Big Miracle,Feb,3,2012,40,20.1573,25.26868
Escape from New York,Jul,10,1981,6,25.2447,25.2447
Grace of Monaco,Dec,1,2015,30,0,25.199891
Mr. Turner,Dec,19,2014,14,3.958546,25.187026
Corky Romano,Oct,12,2001,11,23.978402,25.116103
Cursed,Feb,25,2005,35,19.294901,25.114901
Midnight in the Garden of Good and Evil,Nov,21,1997,35,25.078937,25.078937
The Wood,Jul,16,1999,6,25.05964,25.05964
Wyatt Earp,Jun,24,1994,63,25.052,25.052
Mad Money,Jan,18,2008,22,20.668843,25.044057
Mommie Dearest,Sep,18,1981,5,19.032,25.032
Exorcist II: The Heretic,Jun,17,1977,14,25.011,25.011
The Stewardesses,Jul,25,1969,0.2,13.5,25
Some Like it Hot,Mar,29,1959,2.883848,25,25
Logan's Run,Jan,1,1976,7,25,25
Aloha,May,29,2015,37,21.05203,24.935799
Whiskey Tango Foxtrot,Mar,4,2016,35,23.083334,24.915969
Catch-22,Jun,24,1970,18,24.91167,24.91167
Kurtlar vadisi - Irak,Nov,24,2006,8.3,0,24.906717
Nebraska,Nov,15,2013,12,17.654912,24.76136
Lottery Ticket,Aug,20,2010,17,24.719879,24.719879
Seed of Chucky,Nov,12,2004,29,17.01619,24.71619
Biutiful,Jan,28,2011,35,5.101237,24.687524
Sparkle,Aug,17,2012,10,24.397469,24.660323
Mad Max 2: The Road Warrior,May,21,1982,2,24.600832,24.600832
The Apartment,Jun,15,1960,3,18.6,24.6
Punch-Drunk Love,Oct,11,2002,25,17.791031,24.591031
The Zookeeper’s Wife,Mar,31,2017,20,17.445186,24.52214
Joe Somebody,Dec,21,2001,38,22.770864,24.51599
In the Valley of Elah,Sep,14,2007,23,6.777741,24.48915
I Don't Know How She Does It,Sep,16,2011,24,9.659074,24.474463
Modern Problems,Dec,25,1981,8,24.474312,24.474312
Notorious,Jan,1,1946,2,24.464742,24.464742
Jodaeiye Nader az Simin,Dec,30,2011,0.8,7.098492,24.426169
Arlington Road,Jul,9,1999,21.5,24.419219,24.419219
The Shipping News,Dec,25,2001,35,11.405825,24.405825
In the Heat of the Night,Aug,2,1967,2,24.379978,24.391108
The Next Best Thing,Mar,3,2000,25,14.983572,24.355762
Warrior,Sep,9,2011,25,13.657115,24.215385
Renaissance Man,Jun,3,1994,40,24.172899,24.172899
Wanderlust,Feb,24,2012,32.5,17.288155,24.159934
The Guru,Jan,31,2003,11,3.051221,24.15055
The Adventures of Huck Finn,Apr,2,1993,6.5,24.103594,24.103594
Ong-Bak,Feb,11,2005,1.1,4.563167,24.062965
The Dressmaker,Sep,23,2016,11.9,2.022115,24.041617
Swimming Pool,Jul,4,2003,7.8,10.130108,24.021282
Virtuosity,Aug,4,1995,30,23.998226,23.998226
The Alamo,Apr,9,2004,92,22.406362,23.911362
The Railway Man,Apr,11,2014,18,4.438438,23.91021
Graduation Day,May,1,1981,0.25,23.894,23.894
Life as a House,Oct,26,2001,18,15.652637,23.889158
Annihilation,Feb,23,2018,55,23.814514,23.814514
Annihilation,Feb,23,2018,55,23.814514,23.814514
House of Wax,Apr,10,1953,0.658,23.8,23.8
Dickie Roberts: Former Child Star,Sep,5,2003,17,22.734486,23.734486
In the Cut,Oct,22,2003,12,4.717455,23.693646
Network,Jan,1,1976,3.8,23.689877,23.689877
North Country,Oct,21,2005,30,18.324242,23.676771
Armored,Dec,4,2009,20,15.988876,23.661038
The Best Years of Our Lives,Nov,21,1946,2.1,23.6,23.6
Hustle & Flow,Jul,22,2005,2.8,22.202809,23.591783
Kevin Hart: What Now?,Oct,14,2016,10,23.591043,23.591043
God’s Not Dead 2,Apr,1,2016,5,20.773069,23.565072
Legend,Apr,18,1986,25,15.502112,23.506237
Chinjeolhan geumjassi,May,4,2006,4.5,0.211667,23.471871
Kingdom Come,Apr,11,2001,7,23.247539,23.393939
Raging Bull,Nov,14,1980,18,23.380203,23.380203
Antwone Fisher,Dec,19,2002,12.5,21.078145,23.367586
Reindeer Games,Feb,25,2000,36,23.360779,23.360779
Hoodwinked Too: Hood vs. Evil,Apr,29,2011,30,10.143779,23.353111
Soul Kitchen,Aug,20,2010,4.9,0.276901,23.347469
Once,May,16,2007,0.15,9.445857,23.324057
Middle School: The Worst Years of My Life,Oct,7,2016,8.5,20.007149,23.311425
La misma luna,Mar,19,2008,1.7,12.590147,23.271741
[Rec],Jul,14,2009,2.1,0,23.266821
Beasts of the Southern Wild,Jun,27,2012,1.8,12.795746,23.265132
Before Midnight,May,24,2013,3,8.110621,23.25193
It Follows,Mar,13,2015,2,14.674077,23.250755
Hunt for the Wilderpeople,Jun,24,2016,2.5,5.205471,23.23822
CHiPS,Mar,24,2017,25,18.600152,23.190697
Stay Alive,Mar,24,2006,20,23.08648,23.187506
Free State of Jones,Jun,24,2016,50,20.810036,23.151917
Joyeux Noël,Mar,3,2006,22,1.054361,23.134075
The Players Club,Apr,8,1998,5,23.047939,23.047939
Super Troopers,Feb,15,2002,1.2,18.492362,23.046142
"I Love You, Phillip Morris",Dec,3,2010,13,2.037459,23.014027
Aquamarine,Mar,3,2006,12,18.597342,22.978953
Domino,Oct,14,2005,50,10.169202,22.969202
La Vie d'Adèle – Chapitres 1 & 2,Oct,11,2013,5.25,2.450504,22.93437
Rounders,Sep,11,1998,12,22.921898,22.921898
Ella Enchanted,Apr,9,2004,35,22.913677,22.913677
The Ruins,Apr,4,2008,25,17.432844,22.910563
Baggage Claim,Sep,27,2013,8.5,21.569509,22.885836
Lola rennt,Jun,18,1999,1.75,7.267324,22.879194
The Glass House,Sep,14,2001,22,17.951431,22.861785
Alatriste,Dec,31,2007,28,0,22.860477
A Perfect Getaway,Aug,7,2009,14,15.51546,22.81546
Le Scaphandre et le Papillon,Nov,30,2007,14,5.990075,22.754472
Young Adult,Dec,9,2011,12,16.311571,22.750356
Polisse,May,18,2012,8.9,0.176988,22.744132
The Juror,Feb,2,1996,44,22.730924,22.730924
Prophecy,Jun,15,1979,12,22.67334,22.67334
Bullet to the Head,Feb,1,2013,55,9.489829,22.597969
Bullet to the Head,Feb,1,2013,55,9.489829,22.597969
Trance,Apr,5,2013,16,2.322593,22.594052
Drive Me Crazy,Oct,1,1999,8,17.843379,22.591451
Much Ado About Nothing,May,7,1993,8,22.549338,22.549338
Winter's Tale,Feb,14,2014,60,12.600231,22.46862
City by the Sea,Sep,6,2002,40,22.433915,22.433915
He Got Game,May,1,1998,25,21.567853,22.411948
Two Can Play That Game,Sep,7,2001,13,22.235901,22.39145
At First Sight,Jan,15,1999,40,22.365133,22.365133
My Fellow Americans,Dec,20,1996,21.5,22.331846,22.331846
Super Size Me,May,7,2004,0.065,11.529368,22.233808
Waitress,May,2,2007,1.5,19.09755,22.217183
My Blueberry Nights,Apr,4,2008,10,0.866778,22.198996
Race,Feb,19,2016,5,19.115191,22.178125
A Nightmare On Elm Street: The Dream Child,Aug,11,1989,6,22.168359,22.168359
The Marine,Oct,13,2006,15,18.844784,22.165608
Three Kingdoms: Resurrection of the Dragon,Apr,13,2010,20,0,22.13959
Home for the Holidays,Nov,3,1995,20,17.468887,22.119269
The Medallion,Aug,22,2003,41,22.108977,22.108977
Man of the House,Feb,25,2005,50,19.699706,22.099706
Don Juan DeMarco,Apr,7,1995,25,22.032635,22.032635
The Man with the Iron Fists,Nov,2,2012,15,15.63409,22.018988
The Big Parade,Nov,19,1925,0.245,11,22
Joy Ride,Oct,5,2001,23,21.973182,21.973182
Unaccompanied Minors,Dec,8,2006,25,16.655224,21.970831
Feichang Xingyun,Sep,20,2013,8,0,21.97
Friday the 13th Part V: A New Beginning,Mar,22,1985,2.2,21.930418,21.930418
Flicka,Oct,20,2006,15,21.000147,21.896367
Just Wright,May,14,2010,12,21.540363,21.867665
Reno 911!: Miami,Feb,23,2007,10,20.342161,21.851362
Mr. 3000,Sep,17,2004,30,21.800302,21.827296
Melancholia,Nov,11,2011,9.4,3.030848,21.817298
Boys and Girls,Jun,16,2000,16,21.799652,21.799652
Little Voice,Dec,4,1998,6,4.595,21.787233
Live by Night,Dec,25,2016,65,10.378555,21.778555
Little Black Book,Aug,6,2004,30,20.422207,21.758371
Exodus,Dec,15,1960,4,21.75,21.75
Friday the 13th Part 2,Apr,30,1981,1.25,21.722776,21.722776
White Oleander,Oct,11,2002,16,16.35777,21.65777
Doomsday,Mar,14,2008,33,11.00877,21.621188
Over Her Dead Body,Feb,1,2008,10,7.570127,21.596074
Wicker Park,Sep,3,2004,30,13.001257,21.577076
Black or White,Jan,30,2015,9,21.571189,21.571189
The Rum Diary,Oct,28,2011,45,13.109815,21.544732
Army of Darkness,Feb,19,1993,11,11.502976,21.502976
The Right Stuff,Oct,21,1983,27,21.5,21.5
Quigley Down Under,Oct,19,1990,20,21.413105,21.413105
Our Family Wedding,Mar,12,2010,14,20.255281,21.410546
Arn - Tempelriddaren,Dec,31,2007,16.5,0,21.404122
The Fog,Feb,1,1980,1,21.378361,21.378361
Center Stage,May,12,2000,18,17.200925,21.361109
Die Unendliche Geschichte,Jul,20,1984,27,21.3,21.3
The Apostle,Dec,17,1997,5,20.733485,21.27777
Buried,Sep,24,2010,1.98765,1.044143,21.27029
New York Minute,May,7,2004,40,14.018364,21.215882
A Haunted House 2,Apr,18,2014,4,17.329487,21.206861
The Guard,Jul,29,2011,6,5.359774,21.197454
Raising Cain,Aug,7,1992,11,21.171695,21.171695
ATL,Mar,31,2006,17,21.170563,21.170563
A Nightmare on Elm Street Part 2: Freddy's Revenge,Nov,1,1985,3,21.163999,21.163999
Stir of Echoes,Sep,10,1999,12,21.133087,21.133087
Very Bad Things,Nov,25,1998,10,9.94947,21.094974
Tales from the Crypt: Demon Knight,Jan,13,1995,12,21.089146,21.089146
Cat People,Apr,2,1982,12.5,7,21
A Room with a View,Mar,7,1986,3,20.966644,20.966644
La Guerre du feu,Feb,12,1982,12.5,20.959585,20.959585
The Devil's Rejects,Jul,22,2005,7,17.044981,20.940428
Red Dog,Dec,31,2011,9.1,0,20.927794
Only the Brave,Oct,20,2017,38,18.340051,20.921459
Khumba,Dec,6,2013,15,0,20.898221
Amores Perros,Mar,30,2001,2,5.383834,20.883834
Super Mario Bros.,May,28,1993,42,20.844907,20.844907
The Postman,Dec,25,1997,80,17.650704,20.841123
Rock Dog,Feb,24,2017,60,9.420546,20.830546
Georgia Rule,May,11,2007,20,18.88288,20.819601
A Thousand Words,Mar,9,2012,40,18.450127,20.790486
Left Behind,Oct,3,2014,16,14.019924,20.769209
The Dead Zone,Oct,21,1983,10,20.766,20.766
Fifty Shades of Black,Jan,29,2016,5,11.68694,20.765353
Wish Upon,Jul,14,2017,12,14.301505,20.743742
Boys Don't Cry,Oct,8,1999,2,11.540607,20.741
Alex Rider: Operation Stormbreaker,Oct,13,2006,40,0.65921,20.72245
Eurotrip,Feb,20,2004,25,17.718223,20.718223
Best in Show,Sep,27,2000,6,18.621249,20.695413
Keanu,Apr,29,2016,15,20.591853,20.688141
The Man From Snowy River,Nov,3,1982,5,20.659423,20.659423
Dead Silence,Mar,16,2007,20,16.57459,20.614661
Walk Hard: The Dewey Cox Story,Dec,21,2007,35,18.317151,20.606053
A Christmas Story,Nov,18,1983,3.25,20.605209,20.605209
Country Strong,Dec,22,2010,15,20.218921,20.601987
Bobby,Nov,17,2006,14,11.242801,20.597806
Father Figures,Dec,22,2017,25,17.501244,20.597799
The Last Castle,Oct,19,2001,60,18.208078,20.541668
Easy Virtue,May,22,2009,14,2.656784,20.537741
My Life in Ruins,Jun,5,2009,17,8.677425,20.477425
The Nutcracker in 3D,Nov,24,2010,90,0.195459,20.466016
Margin Call,Oct,21,2011,3.4,5.353586,20.433227
The Adventures of Ford Fairlane,Jul,11,1990,49,20.423389,20.423389
Shame,Dec,2,2011,6.5,4.002293,20.412841
Kids,Jul,21,1995,1.5,7.412216,20.412216
Duel in the Sun,Dec,31,1946,6,20.4,20.4
F.I.S.T,Apr,13,1978,11,20.38892,20.38892
Valentine,Feb,2,2001,10,20.384136,20.384136
The Namesake,Mar,9,2007,8.5,13.610521,20.288774
City Hall,Feb,16,1996,40,20.278055,20.278055
Vampires,Oct,30,1998,20,20.268825,20.268825
Action Jackson,Feb,12,1988,7,20.257,20.257
Die Fälscher,Feb,22,2008,6.25,5.48857,20.199663
Hodejegerne,Apr,27,2012,5.25,1.20001,20.18874
Barry Lyndon,Jan,1,1975,11,20,20.169934
Beerfest,Aug,25,2006,17.5,19.185184,20.159316
Serving Sara,Aug,23,2002,29,16.930185,20.14615
Multiplicity,Jul,17,1996,45,20.133326,20.133326
Love and Death,Jun,10,1975,3,20.123742,20.123742
Nanjing! Nanjing!,Nov,7,2009,12,0.122558,20.122558
Legends of Oz: Dorothy’s Return,May,9,2014,70,8.462347,20.107933
Reign Over Me,Mar,23,2007,20,19.661987,20.081987
Blindness,Oct,3,2008,25,3.073392,20.052958
Creepshow,Nov,10,1982,8,20.036244,20.036244
Down to You,Jan,21,2000,9,20.03531,20.03531
I Heart Huckabees,Oct,1,2004,22,12.784713,20.034713
Life of Brian,Aug,17,1979,4,20.008693,20.008693
Another Year,Dec,29,2010,8,3.205706,20.005613
The Kentucky Fried Movie,Aug,10,1977,0.6,15,20
Frailty,Apr,12,2002,11,13.110448,19.94728
crazy/beautiful,Jun,29,2001,13,16.929123,19.929123
Un Prophète,Feb,26,2010,13,2.08772,19.910624
Fled,Jul,19,1996,30,17.192205,19.892205
Caché,Dec,23,2005,8,3.647381,19.891331
Hard Rain,Jan,16,1998,70,19.870567,19.870567
Get Over It,Mar,9,2001,10,11.560259,19.860259
Amelia,Oct,23,2009,40,14.279575,19.756077
Young Sherlock Holmes,Dec,4,1985,18,19.739,19.739
Summer Catch,Aug,24,2001,17,19.693891,19.693891
Youth in Revolt,Jan,8,2010,18,15.285588,19.685588
Blackhat,Jan,16,2015,70,8.00598,19.665004
Vampire in Brooklyn,Oct,27,1995,14,19.637147,19.637147
Nighthawks,Apr,10,1981,5,14.6,19.6
Dead Man Down,Mar,8,2013,30,10.895295,19.599974
Heavy Metal,Aug,7,1981,9.3,19.571091,19.571091
Before I Go to Sleep,Oct,31,2014,22,3.242457,19.563579
The Perfect Man,Jun,17,2005,10,16.535005,19.535005
Friday the 13th Part VI: Jason Lives,Aug,1,1986,3,19.472057,19.472057
The Light Between Oceans,Sep,2,2016,20,12.545979,19.45078
House Party 2,Oct,23,1991,5,19.438638,19.438638
Doug's 1st Movie,Mar,26,1999,5,19.421271,19.421271
Get Carter,Oct,6,2000,40,14.967182,19.417182
Tuck Everlasting,Oct,11,2002,15,19.161999,19.344615
Rock Star,Sep,7,2001,38,16.991902,19.317765
Summer of Sam,Jul,2,1999,22,19.28813,19.28813
2046,Aug,5,2005,12,1.442338,19.287485
Bandidas,Sep,22,2006,35,0,19.28259
Half Past Dead,Nov,15,2002,25,15.56786,19.23328
Martin Lawrence Live: RunTelDat,Aug,2,2002,3,19.18482,19.18482
The Visitor,Apr,11,2008,4,9.427026,19.174817
Friday the 13th Part VII: The New Blood,May,13,1988,2.8,19.170001,19.170001
A Mighty Heart,Jun,22,2007,15,9.176787,19.153568
Vanity Fair,Sep,1,2004,23,16.123851,19.123851
Capitalism: A Love Story,Sep,23,2009,20,14.363397,19.121531
Rushmore,Dec,11,1998,10,17.105219,19.080435
The Drop,Sep,12,2014,12.6,10.724389,19.054534
The Replacement Killers,Feb,6,1998,30,19.035741,19.035741
Disturbing Behavior,Jul,24,1998,15,17.507368,19.014238
The Boys from Brazil,Jan,1,1978,12,19,19
The World's Fastest Indian,Dec,7,2005,25,5.128124,18.991288
Akeelah and the Bee,Apr,28,2006,8,18.84843,18.959424
Whip It,Oct,2,2009,15,13.077184,18.889972
Mine Vaganti,Dec,31,2010,9.1,0,18.872126
See No Evil,May,19,2006,8,15.0328,18.828036
Under the Rainbow,Jul,31,1981,20,18.82649,18.82649
The Edge of Seventeen,Nov,18,2016,9,14.431633,18.802255
The Merchant of Venice,Dec,29,2004,30,3.765585,18.765585
Admission,Mar,22,2013,13,18.007317,18.733666
Jûsan-nin no shikaku,Apr,29,2011,6,0.802778,18.72744
Housefull,Apr,30,2010,10.1,1.183658,18.7263
3000 Miles to Graceland,Feb,23,2001,62,15.738632,18.708848
Waiting...,Oct,7,2005,1.125,16.124543,18.673274
Anywhere But Here,Nov,12,1999,23,18.653615,18.653615
Michael Jordan to the MAX,May,5,2000,7,18.642318,18.642318
Fired Up,Feb,20,2009,20,17.231291,18.60857
The Fan,Aug,16,1996,55,18.582965,18.582965
The Fan,Aug,16,1996,55,18.582965,18.582965
The Quick and the Dead,Feb,10,1995,32,18.55246,18.55246
An Unfinished Life,Sep,9,2005,30,8.535575,18.535575
[Rec] 2,Jul,9,2010,5.6,0.027766,18.527766
De-Lovely,Jun,25,2004,15,13.337299,18.524496
Cutthroat Island,Dec,22,1995,92,10.017322,18.517322
A Mighty Wind,Apr,16,2003,6,17.583468,18.504539
The Curse of the Jade Scorpion,Aug,24,2001,26,7.496522,18.496522
Empire,Dec,6,2002,3.5,17.504595,18.495444
Sugar Hill,Feb,25,1994,10,18.272447,18.423914
Ladyhawke,Apr,12,1985,20,18.4,18.4
Sabotage,Mar,28,2014,35,10.508518,18.376443
Sleeper,Dec,17,1973,2,18.344729,18.344729
The Infiltrator,Jul,13,2016,47.5,15.436808,18.329653
Simon Birch,Sep,11,1998,20,18.253415,18.310591
Jagten,May,17,2013,3.45,0.687185,18.309793
The Founder,Jan,20,2017,15,12.786243,18.301418
Machete Kills,Oct,11,2013,20,8.008161,18.273009
Eye of the Beholder,Jan,28,2000,15,16.500786,18.260865
Loser,Jul,21,2000,20,15.464026,18.250106
Harold & Kumar Go to White Castle,Jul,30,2004,9,18.225165,18.225165
Daddy Day Camp,Aug,8,2007,6,13.235267,18.209872
Repo Men,Mar,19,2010,32,13.942007,18.195238
Dope,Jun,19,2015,7,17.50647,18.190831
All the Pretty Horses,Dec,22,2000,45,15.527125,18.120267
Last Man Standing,Sep,20,1996,67,18.115927,18.115927
Friends with Money,Apr,7,2006,6.5,13.368437,18.110152
Wes Craven's New Nightmare,Oct,14,1994,8,18.090181,18.090181
The Lobster,Mar,25,2016,4.5,9.196278,18.053914
Everything You Always Wanted to Know,Aug,11,1972,2,18.01629,18.01629
The Howling,Apr,10,1981,1,17.985,17.985
Stolen,Sep,14,2012,35,0.289773,17.967746
Antitrust,Jan,12,2001,30,10.965209,17.865209
Brothers,Aug,14,2015,13,0.656688,17.856688
City of Ember,Oct,10,2008,38,7.873007,17.831558
School for Scoundrels,Sep,29,2006,20,17.807569,17.807569
The Contender,Oct,13,2000,9,17.804273,17.804273
Halloween 4: The Return of Michael Myers,Oct,1,1988,5,17.768757,17.768757
And So It Goes,Jul,25,2014,18,15.160801,17.762041
The Rage: Carrie 2,Mar,12,1999,21,17.760244,17.760244
The Oxford Murders,Aug,6,2010,10,0.004803,17.704131
Little Boy,Apr,24,2015,20,6.485961,17.684355
Kit Kittredge: An American Girl,Jun,20,2008,10,17.657973,17.657973
Swing Vote,Aug,1,2008,21,16.289867,17.589867
Cat on a Hot Tin Roof,Sep,20,1958,3,17.570324,17.570324
Mommy,Jan,23,2015,4.9,3.498695,17.5611
Adventureland,Apr,3,2009,9.8,16.044025,17.553055
Fruitvale Station,Jul,12,2013,0.9,16.098998,17.549645
Invasion U.S.A.,Sep,27,1985,10,17.536256,17.536256
Addicted,Oct,10,2014,5,17.39077,17.499242
Rebound,Jul,1,2005,45,16.809014,17.492014
Beneath the Planet of the Apes,May,26,1970,3,17.489009,17.489009
Rachel Getting Married,Oct,3,2008,12,12.796861,17.475475
Glee: The 3D Concert Movie,Aug,12,2011,9,11.862398,17.462398
Kinsey,Nov,12,2004,11,10.214647,17.443529
Roll Bounce,Sep,23,2005,10,17.380866,17.433072
A Guy Thing,Jan,17,2003,20,15.543862,17.430594
Les Triplettes de Belleville,Nov,26,2003,2,7.301288,17.403168
Half Baked,Jan,16,1998,8,17.394881,17.394881
It Comes at Night,Jun,9,2017,5,13.985117,17.3871
Extreme Measures,Sep,27,1996,38,17.378193,17.378193
Sunshine Cleaning,Mar,13,2009,5,12.062558,17.329337
My Baby's Daddy,Jan,9,2004,12,17.321573,17.322212
12 Rounds,Mar,27,2009,20,12.234694,17.306648
The Matador,Dec,30,2005,10,12.589255,17.300838
Max Keeble's Big Move,Oct,5,2001,12,17.292381,17.292381
Dolphins and Whales Tribes of the Ocean 3D,Feb,15,2008,6,7.714996,17.252287
A Few Best Men,May,5,2015,15,0,17.224539
The Phantom,Jun,7,1996,45,17.220599,17.220599
Bright Star,Sep,17,2009,8.5,4.444637,17.220091
Hudson Hawk,May,24,1991,65,17.218916,17.218916
Hit & Run,Aug,22,2012,22,13.7493,17.216955
Election,Apr,23,1999,8.5,14.943582,17.202854
Kites,May,21,2010,9.2,1.685269,17.155193
Kung Pow: Enter the Fist,Jan,25,2002,10,16.033556,17.033556
Pandorum,Sep,25,2009,40,10.330853,17.033431
Somewhere,Dec,22,2010,7,1.785645,17.023121
Central do Brasil,Nov,20,1998,2.9,5.969553,17.006158
"House of 1,000 Corpses",Apr,11,2003,7,12.634962,17.005466
Kingdom of the Spiders,Jan,1,1977,0.5,17,17
The Country Bears,Jul,26,2002,20,16.988996,16.988996
Win a Date with Tad Hamilton!,Jan,23,2004,24,16.980098,16.980098
Catch That Kid,Feb,6,2004,18,16.703799,16.959614
Jason X,Apr,26,2002,14,13.121555,16.951798
Godsend,Apr,30,2004,30,14.334645,16.910708
