byline,critics_pick,date_updated,display_title,headline,link.suggested_link_text,link.type,link.url,mpaa_rating,multimedia,opening_date,publication_date,summary_short
JEANNETTE CATSOULIS,0,12/22/2017 17:44,Desolation,Review: Emotional ‘Desolation’ and Woodland Horror,Read the New York Times Review of Desolation,article,http://www.nytimes.com/2017/12/14/movies/desolation-review.html,,,12/15/2017,12/14/2017,This psycho-in-the-woods tale benefits from sensitive writing and organic performances.
MANOHLA DARGIS,0,12/22/2017 17:44,The Ballad of Lefty Brown,Review: The Sidekick as Hero in ‘The Ballad of Lefty Brown’,Read the New York Times Review of The Ballad of Lefty Brown,article,http://www.nytimes.com/2017/12/14/movies/review-the-sidekick-as-hero-in-the-ballad-of-lefty-brown.html,R,,12/15/2017,12/14/2017,"Bill Pullman stars in this Montana-set western, which tips its cowboy hat to classics of the genre."
MANOHLA DARGIS,1,1/12/2018 17:44,Star Wars: The Last Jedi,Review: ‘Star Wars: The Last Jedi’ Embraces the Magic and Mystery,Read the New York Times Review of Star Wars: The Last Jedi,article,http://www.nytimes.com/2017/12/12/movies/star-wars-the-last-jedi-review.html,PG-13,,12/15/2017,12/12/2017,"With charm and wit, the latest “Star Wars” movie unites the past and present as it looks toward the future."
BEN KENIGSBERG,0,12/22/2017 17:44,Miss Kiet's Children,"Review: In ‘Miss Kiet’s Children,’ Refugees Adjust to Dutch Life",Read the New York Times Review of Miss Kiet's Children,article,http://www.nytimes.com/2017/12/12/movies/review-in-miss-kiets-children-refugees-adjust-to-dutch-life.html,,,12/13/2017,12/12/2017,The documentary by Petra Lataster-Czisch and Peter Lataster follows young students in the classroom but doesn’t examine their lives outside school.
ANDY WEBSTER,0,12/22/2017 17:44,Sundowners,Review: Layabouts Behind a Wedding Lens in ‘Sundowners’,Read the New York Times Review of Sundowners,article,http://www.nytimes.com/2017/12/14/movies/sundowners-review.html,,,12/12/2017,12/14/2017,"In this droll comedy from Pavan Moondi, a pair of feckless layabouts are assigned to video-record a wedding at a Mexican resort. Mishaps ensue."
A.O. SCOTT,0,12/25/2017 3:44,Just Getting Started,"Review: ‘Just Getting Started’ Has Big Names, Not Big Laughs",Read the New York Times Review of Just Getting Started,article,http://www.nytimes.com/2017/12/11/movies/just-getting-started-review-morgan-freeman-tommy-lee-jones.html,PG-13,,12/8/2017,12/11/2017,"The writer-director Ron Shelton returns to his favorite themes in this comedy starring Morgan Freeman, Tommy Lee Jones and Rene Russo."
A.O. SCOTT,1,12/22/2017 17:44,Quest,Review: ‘Quest’ Is a Moving Portrait of an American Family,Read the New York Times Review of Quest,article,http://www.nytimes.com/2017/12/07/movies/quest-review-philadelphia-documentary.html,,,12/8/2017,12/7/2017,This documentary from Jonathan Olshefski follows a North Philadelphia family through the Obama years.
MONICA CASTILLO,0,12/15/2017 17:44,Hollow in the Land,"Review: In ‘Hollow in the Land,’ a Headstrong Woman’s Search for Answers",Read the New York Times Review of Hollow in the Land,article,http://www.nytimes.com/2017/12/07/movies/hollow-in-the-land-review-dianna-agron.html,,,12/8/2017,12/7/2017,"When the brother of Dianna Agron’s character is accused of murder, it’s up to her to save him and their family reputation."
JEANNETTE CATSOULIS,0,12/15/2017 17:44,Kaleidoscope,"Review: If It’s Not One Thing, It’s Your Mother in ‘Kaleidoscope’",Read the New York Times Review of Kaleidoscope,article,http://www.nytimes.com/2017/12/07/movies/kaleidoscope-review.html,,,12/8/2017,12/7/2017,A toxic mother-son bond drives Rupert Jones’s glum British psychodrama.
MANOHLA DARGIS,0,1/6/2018 17:44,"I, Tonya","Review: ‘I, Tonya.’ I, Punching Bag. I, Punch Line.","Read the New York Times Review of I, Tonya",article,http://www.nytimes.com/2017/12/06/movies/i-tonya-review-margot-robbie.html,R,,12/8/2017,12/6/2017,"In this winking biopic, Margot Robbie plays the disgraced ice skater Tonya Harding."
MANOHLA DARGIS,0,12/30/2017 17:44,The Disaster Artist,"Review: In ‘The Disaster Artist,’ How to Fail at Moviemaking",Read the New York Times Review of The Disaster Artist,article,http://www.nytimes.com/2017/11/30/movies/the-disaster-artist-review-ames-franco-tommy-wiseau.html,R,,12/8/2017,11/30/2017,"James Franco directs and stars in this fictionalized look at the making of “The Room,” which fans call the worst movie ever made."
GLENN KENNY,1,12/15/2017 17:44,Bill Frisell: A Portrait,"Review: ‘Bill Frisell,’ a Winning Portrait of a Very Nice Guitarist",Read the New York Times Review of Bill Frisell: A Portrait,article,http://www.nytimes.com/2017/12/05/movies/bill-frisell-a-portrait-review.html,,,12/6/2017,12/5/2017,"The director Emma Franz focuses on a musician who seems to never stop playing, featuring great collaborators of this “no drama” artist."
GLENN KENNY,1,12/15/2017 17:44,Shadowman,Review: ‘Shadowman’ Traces the Rise and Fall of an ’80s Artist,Read the New York Times Review of Shadowman,article,http://www.nytimes.com/2017/11/30/movies/shadowman-review-richard-hambleton.html,,,12/1/2017,11/30/2017,"Richard Hambleton, a peer of Jean-Michel Basquiat and Keith Haring who went underground, was painting right up until his death this fall."
JEANNETTE CATSOULIS,0,12/8/2017 17:44,Voyeur,Review: The Strange Tale of the ‘Voyeur’ and the Journalist,Read the New York Times Review of Voyeur,article,http://www.nytimes.com/2017/11/30/movies/voyeur-review-gay-talese.html,,,12/1/2017,11/30/2017,This squirmy documentary follows the celebrated journalist Gay Talese’s infamous investigation of a motel owner who spied on guests.
MANOHLA DARGIS,0,12/30/2017 17:44,Wonder Wheel,"Review: ‘Wonder Wheel,’ Woody Allen’s Coney Island Memory Palace",Read the New York Times Review of Wonder Wheel,article,http://www.nytimes.com/2017/11/30/movies/woody-allen-wonder-wheel-kate-winslet-review.html,PG-13,,12/1/2017,11/30/2017,Kate Winslet plays an unhappily married woman whose affair with a local Romeo is derailed when he falls for her stepdaughter.
BEN KENIGSBERG,0,12/8/2017 17:44,Sins of the Flesh,"Review: In ‘Sins of the Flesh,’ One Prison Replaces Another",Read the New York Times Review of Sins of the Flesh,article,http://www.nytimes.com/2017/11/30/movies/review-in-sins-of-the-flesh-one-prison-replaces-another.html,,,12/1/2017,11/30/2017,A drama about a prison escapee in hiding plays out against the backdrop of the 2011 demonstrations in Cairo’s Tahrir Square.
TEO BUGBEE,0,12/8/2017 17:44,The Tribes of Palos Verdes,Review: Strong Performances Anchor ‘The Tribes of Palos Verdes’,Read the New York Times Review of The Tribes of Palos Verdes,article,http://www.nytimes.com/2017/11/30/movies/the-tribes-of-palos-verdes-review-jennifer-garner.html,R,,12/1/2017,11/30/2017,Not even a move to a picture-perfect California paradise can buoy a troubled family.
MONICA CASTILLO,0,12/8/2017 17:44,Rosa Chumbe,Review: ‘Rosa Chumbe’ Offers Little Hope for Redemption,Read the New York Times Review of Rosa Chumbe,article,http://www.nytimes.com/2017/11/30/movies/rosa-chumbe-review.html,,,12/1/2017,11/30/2017,An alcoholic cop and her pregnant daughter are forced to reckon with their mistakes in this Peruvian drama.
GLENN KENNY,0,12/8/2017 17:44,Love Beats Rhymes,"Review: In ‘Love Beats Rhymes,’ a Hip-Hop Artist Transformed by Poetry",Read the New York Times Review of Love Beats Rhymes,article,http://www.nytimes.com/2017/11/30/movies/love-beats-rhymes-azealia-banks-rza.html,R,,12/1/2017,11/30/2017,"The rap luminary RZA and the hip-hop musician Azealia Banks team up for a story of rap and poetry, “Love Beats Rhymes.”"
GLENN KENNY,0,12/8/2017 17:44,The Dancer,"Review: ‘The Dancer,’ a Glum Biopic for a Dynamic Innovator",Read the New York Times Review of The Dancer,article,http://www.nytimes.com/2017/11/30/movies/review-the-dancer-a-glum-biopic-for-a-dynamic-innovator.html,,,12/1/2017,11/30/2017,"The film, directed by Stéphanie Di Giusto, seems genuinely hostile to its subject, the dancer Loïe Fuller, whose real-life accomplishments deserve better."
KEN JAWOROWSKI,0,12/8/2017 17:44,The New Radical,"Review: ‘The New Radical’ Asks, Is It O.K. to Build Your Own Gun?",Read the New York Times Review of The New Radical,article,http://www.nytimes.com/2017/11/30/movies/the-new-radical-review.html,,,12/1/2017,11/30/2017,"The documentary follows Cody Wilson, who published plans to create a gun using a 3-D printer."
BEN KENIGSBERG,0,12/8/2017 17:44,32 Pills: My Sister's Suicide,"Review: In ‘32 Pills,’ a Filmmaker Investigates Her Sister’s Death",Read the New York Times Review of 32 Pills: My Sister's Suicide,article,http://www.nytimes.com/2017/11/30/movies/32-pills-review.html,,,11/29/2017,11/30/2017,Hope Litoff’s documentary becomes more voyeuristically gripping as it progresses.
BEN KENIGSBERG,0,12/22/2017 17:44,Naples '44,Review: ‘Naples ’44’ Chronicles Life During Wartime,Read the New York Times Review of Naples '44,article,http://www.nytimes.com/2017/11/28/movies/review-naples-44.html,,,11/29/2017,11/28/2017,"Taken from a British intelligence officer’s memoir, and narrated by Benedict Cumberbatch, this film paints a portrait of the occupied city."
BEN KENIGSBERG,0,12/29/2017 17:44,Hangman,"Review: In ‘Hangman,’ Al Pacino Trails a Killer With a Unique Vocabulary",Read the New York Times Review of Hangman,article,http://www.nytimes.com/2017/12/21/movies/hangman-review-al-pacino.html,R,,11/24/2017,12/21/2017,The detectives in this serial-killer thriller can’t even be bothered to solve the word puzzle.
GLENN KENNY,0,12/1/2017 17:44,Eric Clapton: Life in 12 Bars,"Review: ‘Eric Clapton: A Life in 12 Bars,’ of Triumphs and Tragedies",Read the New York Times Review of Eric Clapton: Life in 12 Bars,article,http://www.nytimes.com/2017/11/23/movies/eric-clapton-a-life-in-12-bars-review.html,,,11/24/2017,11/23/2017,A documentary on the life of Eric Clapton is candid on the rock legend’s struggles with addiction.
GLENN KENNY,0,12/1/2017 17:44,Cuba and the Cameraman,Review: ‘Cuba and the Cameraman’ Lavishes Love on a Country … and Castro,Read the New York Times Review of Cuba and the Cameraman,article,http://www.nytimes.com/2017/11/23/movies/cuba-and-the-cameraman-review.html,,,11/24/2017,11/23/2017,The filmmaker Jon Alpert has been visiting and documenting Cuba for 45 years. His new movie looks back fondly at its people and its leader.
BEN KENIGSBERG,0,11/23/2017 12:04,AL DI QUA (Life/Here),"Review: ‘Al Di Qua,’ Homelessness Through an Artsy Filter",Read the New York Times Review of AL DI QUA (Life/Here),article,http://www.nytimes.com/2017/11/23/movies/review-al-di-qua-homelessness-through-an-artsy-filter.html,,,11/24/2017,11/23/2017,"In this film, Turin’s poorest tell their stories to the camera."
MANOHLA DARGIS,1,12/22/2017 17:44,Call Me by Your Name,Review: A Boy’s Own Desire in ‘Call Me by Your Name’,Read the New York Times Review of Call Me by Your Name,article,http://www.nytimes.com/2017/11/22/movies/call-me-by-your-name-review-armie-hammer.html,R,,11/24/2017,11/22/2017,"In the latest movie from the Italian director Luca Guadagnino (“I Am Love”), Armie Hammer plays a visiting student who falls for his host’s teenage son."
A.O. SCOTT,0,12/21/2017 17:44,Darkest Hour,"Review: ‘Darkest Hour,’ or the Great Man Theory of History (and Acting)",Read the New York Times Review of Darkest Hour,article,http://www.nytimes.com/2017/11/21/movies/darkest-hour-review-gary-oldman.html,PG-13,,11/22/2017,11/21/2017,Gary Oldman plays Winston Churchill in Joe Wright’s drama about the early days of World War II.
A.O. SCOTT,0,12/21/2017 17:44,Coco,Review: ‘Coco’ Brings the Pixar Touch to Death,Read the New York Times Review of Coco,article,http://www.nytimes.com/2017/11/21/movies/coco-review-pixar-disney.html,PG,,11/22/2017,11/21/2017,"The movie delivers moments of cinematic rigor and playful pop-culture erudition. And though it deals with the afterlife, don’t let that scare you."
BEN KENIGSBERG,0,12/21/2017 17:44,The Man Who Invented Christmas,"Review: In ‘The Man Who Invented Christmas,’ Dickens as a Secret Documentarian",Read the New York Times Review of The Man Who Invented Christmas,article,http://www.nytimes.com/2017/11/21/movies/review-in-the-man-who-invented-christmas-review-charles-dickens-dan-stevens.html,PG,,11/22/2017,11/21/2017,This drama purports that Charles Dickens took inspiration for his fictional characters from real-life encounters.
GLENN KENNY,0,12/1/2017 17:44,Mr. Roosevelt,"Review: In ‘Mr. Roosevelt,’ an Ailing Cat and a Comedian in Crisis",Read the New York Times Review of Mr. Roosevelt,article,http://www.nytimes.com/2017/11/21/movies/mr-roosevelt-review-noel-wells.html,,,11/22/2017,11/21/2017,"Noël Wells wrote, directed and stars in this film about a young woman who returns to her former home and discovers much has changed."
BEN KENIGSBERG,0,12/16/2017 17:44,"Roman J. Israel, Esq.","Review: In ‘Roman J. Israel, Esq.,’ Denzel Washington as a Lawyer Out of His Element","Read the New York Times Review of Roman J. Israel, Esq.",article,http://www.nytimes.com/2017/11/16/movies/roman-j-israel-review-denzel-washington.html,PG-13,,11/22/2017,11/16/2017,Dan Gilroy’s new film about a socially awkward jurist misfires when it appoints him as a sort of angelic figure.
GLENN KENNY,0,12/29/2017 17:44,Crooked House,Review: A ‘Crooked House’ of Murder and Resentment,Read the New York Times Review of Crooked House,article,http://www.nytimes.com/2017/12/21/movies/crooked-house-review-glenn-close.html,PG-13,,11/21/2017,12/21/2017,"Glenn Close, Julian Sands, Gillian Anderson and Christina Hendricks make up an all-star roster of suspects in this Agatha Christie adaptation."
A.O. SCOTT,1,12/16/2017 17:44,Mudbound,"Review: ‘Mudbound’ Is a Racial Epic Tuned to Black Lives, and White Guilt",Read the New York Times Review of Mudbound,article,http://www.nytimes.com/2017/11/16/movies/mudbound-review-dee-rees.html,R,,11/17/2017,11/16/2017,Dee Rees’s new film illuminates the daily cruelties in post-World War II Mississippi.
MANOHLA DARGIS,1,11/16/2017 15:56,"Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Clifton","Review: ‘Jim & Andy,’ When Carrey Became Kaufman","Read the New York Times Review of Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",article,http://www.nytimes.com/2017/11/16/movies/review-jim-and-andy-jim-carrey.html,,,11/17/2017,11/16/2017,"In his documentary about Jim Carrey, Andy Kaufman and the making of “Man on the Moon,” the director Chris Smith finds multiple realities and laughs."
GLENN KENNY,1,12/16/2017 17:44,The Breadwinner,"Review: In ‘The Breadwinner,’ a Girl Bravely Provides for Her Family",Read the New York Times Review of The Breadwinner,article,http://www.nytimes.com/2017/11/16/movies/the-breadwinner-review.html,PG-13,,11/17/2017,11/16/2017,The children in this animated film based on a novel by Deborah Ellis navigate life under the Taliban.
GLENN KENNY,1,12/16/2017 17:44,Wonder,"Review: In ‘Wonder,’ a Not-So-Ordinary Boy Makes His Way",Read the New York Times Review of Wonder,article,http://www.nytimes.com/2017/11/16/movies/wonder-review-jacob-tremblay-julia-roberts-owen-wilson.html,PG,,11/17/2017,11/16/2017,"Auggie, the little boy in this smart and warmhearted family film, is inspirational in his differences."
GLENN KENNY,0,11/16/2017 12:04,Wet Woman in the Wind,Review: ‘Wet Woman in the Wind’ Is a Queasy Sex Romp,Read the New York Times Review of Wet Woman in the Wind,article,http://www.nytimes.com/2017/11/16/movies/wet-woman-in-the-wind-review.html,,,11/17/2017,11/16/2017,"Let’s make no bones about it: This film, part of a project to reboot a Japanese soft-core genre, is designed to appeal to male prurient interest."
BEN KENIGSBERG,0,11/24/2017 17:44,Cook Off!,Review: ‘Cook Off!’ Gives Chefs the ‘Best in Show’ Treatment,Read the New York Times Review of Cook Off!,article,http://www.nytimes.com/2017/11/16/movies/review-cook-off-melissa-mccarthy.html,R,,11/17/2017,11/16/2017,This mockumentary about a cooking competition features Melissa McCarthy but is being released 10 years after it was first shown at a comedy festival.
MANOHLA DARGIS,0,12/15/2017 17:44,Justice League,"Review: ‘Justice League,’ Better Than the Last One!",Read the New York Times Review of Justice League,article,http://www.nytimes.com/2017/11/15/movies/justice-league-review-wonder-woman-batman-dc-comics.html,PG-13,,11/17/2017,11/15/2017,"In this superhero jamboree, the Flash, Aquaman and Cyborg sign on with the DC Comics team leaders Batman and Wonder Woman. (Psst … where’s Superman?)"
BEN KENIGSBERG,0,11/29/2017 17:44,Song of Granite,"Review: In ‘Song of Granite,’ Fragments of an Irish Folk Singer’s Life",Read the New York Times Review of Song of Granite,article,http://www.nytimes.com/2017/11/14/movies/song-of-granite-review.html,,,11/15/2017,11/14/2017,This biography of the singer Joe Heaney seems uncertain of what made him tick.
ANDY WEBSTER,1,11/9/2017 12:04,I Remember You,Review: ‘I Remember You’ Is a Piercing Horror Film From Iceland,Read the New York Times Review of I Remember You,article,http://www.nytimes.com/2017/11/09/movies/i-remember-you-review.html,,,11/10/2017,11/9/2017,The director Oskar Thor Axelsson prefers mood and compelling human conflict over copious gore to deliver chills. The result is effective.
JEANNETTE CATSOULIS,1,11/17/2017 17:44,Bitch,"Review: In ‘Bitch,’ a Desperate Housewife Finds Her Bark",Read the New York Times Review of Bitch,article,http://www.nytimes.com/2017/11/09/movies/bitch-review.html,,,11/10/2017,11/9/2017,Jason Ritter plays a husband whose wife goes to the dogs in this feminist horror-comedy.
TEO BUGBEE,1,11/17/2017 17:44,Window Horses: The Poetic Persian Epiphany of Rosie Ming,Review: ‘Window Horses’ Animates a Young Poet’s Self-Discovery,Read the New York Times Review of Window Horses: The Poetic Persian Epiphany of Rosie Ming,article,http://www.nytimes.com/2017/11/09/movies/window-horses-review.html,,,11/10/2017,11/9/2017,"Ann Marie Fleming’s film explores the passions of a sheltered poet who travels to Shiraz, Iran, for a poetry festival."
BEN KENIGSBERG,0,12/9/2017 17:44,Daddy's Home 2,"Review: In ‘Daddy’s Home 2,’ Father Doesn’t Know Best",Read the New York Times Review of Daddy's Home 2,article,http://www.nytimes.com/2017/11/09/movies/review-in-daddys-home-2-mel-gibson-will-ferrell-mark-wahlberg.html,PG-13,,11/10/2017,11/9/2017,Mel Gibson gets off lightly as a crass paterfamilias in this comedy sequel to the hit starring Will Ferrell and Mark Wahlberg.
KEN JAWOROWSKI,0,11/17/2017 17:44,Intent to Destroy,Review: ‘Intent to Destroy’ Shows That the Armenian Past Is Not Over,Read the New York Times Review of Intent to Destroy,article,http://www.nytimes.com/2017/11/09/movies/intent-to-destroy-armenian-genocide-review.html,,,11/10/2017,11/9/2017,"This documentary, directed by Joe Berlinger, explores the Armenian genocide through old footage of survivors and insights from historians."
JEANNETTE CATSOULIS,0,11/17/2017 17:44,Mayhem,Review: A Virus Creates ‘Mayhem’ Among Backstabbing Lawyers,Read the New York Times Review of Mayhem,article,http://www.nytimes.com/2017/11/09/movies/mayhem-review-steven-yeun.html,Not Rated,,11/10/2017,11/9/2017,"“Mayhem,” featuring the “Walking Dead” actor Steven Yeun, embraces its pulpy title with fighting-and-fornicating glee."
MANOHLA DARGIS,0,12/8/2017 17:44,"Three Billboards Outside Ebbing, Missouri",Review: On Violence and the Pain of Others in ‘Three Billboards’,"Read the New York Times Review of Three Billboards Outside Ebbing, Missouri",article,http://www.nytimes.com/2017/11/08/movies/review-three-billboards-outside-ebbing-missouri-martin-mcdonagh.html,R,,11/10/2017,11/8/2017,"A ferocious Frances McDormand plays a grieving mother seeking justice in Martin McDonagh’s movie, which mixes tears and tragedy with corrosive laughs."
GLENN KENNY,0,12/8/2017 17:44,Murder on the Orient Express,Review: An All-Star ‘Murder on the Orient Express’ With Few Surprises,Read the New York Times Review of Murder on the Orient Express,article,http://www.nytimes.com/2017/11/08/movies/murder-on-the-orient-express-review-kenneth-branagh.html,PG-13,,11/10/2017,11/8/2017,"Kenneth Branagh assembles Judi Dench, Johnny Depp, Michelle Pfeiffer and others for his film remake of Agatha Christie’s mystery novel."
ANDY WEBSTER,0,12/6/2017 17:44,Hello Again,"Review: ‘Hello Again,’ a Movie Musical Ode to Love and Lust Over Decades",Read the New York Times Review of Hello Again,article,http://www.nytimes.com/2017/11/07/movies/hello-again-review.html,,,11/8/2017,11/7/2017,"This film from Tom Gustafson, based on a 1993 Off Broadway show, has a formidable cast of Broadway names but wants for dramatic traction."
ANDY WEBSTER,1,11/10/2017 17:44,Most Beautiful Island,"Review: ‘Most Beautiful Island,’ an Immigrant’s New York Nightmare",Read the New York Times Review of Most Beautiful Island,article,http://www.nytimes.com/2017/11/02/movies/most-beautiful-island-review.html,,,11/3/2017,11/2/2017,"This suspense film, about a woman entering a rabbit hole of urban peril, is an effective writing-directing debut for Ana Asensio, who also stars."
MANOHLA DARGIS,0,12/2/2017 17:44,LBJ,Review: ‘LBJ’ Hides Its Light Under a Bushel of Makeup,Read the New York Times Review of LBJ,article,http://www.nytimes.com/2017/11/02/movies/lbj-review-woody-harrelson-rob-reiner.html,R,,11/3/2017,11/2/2017,"Woody Harrelson swaggers through this movie, which tries to track the coming into consciousness of Lyndon B. Johnson."
GLENN KENNY,0,11/2/2017 11:04,Along for the Ride,"Review: ‘Along for the Ride,’ an Artist Through the Eyes of an Assistant",Read the New York Times Review of Along for the Ride,article,http://www.nytimes.com/2017/11/02/movies/along-for-the-ride-review-dennis-hopper.html,,,11/3/2017,11/2/2017,"Dennis Hopper’s life could be seen as a wild ride, on and off the screen. Someone who was by Hopper’s side interprets his story."
